simulation,nct_id,rank,simulated_score
315,NCT02057250,3,5.010542369966053
316,NCT00996203,1,46.29409011318389
316,NCT02744196,2,8.947701110163848
316,NCT02057250,3,0.0
317,NCT00996203,1,49.670801389146284
317,NCT02744196,2,12.686169975000844
317,NCT02057250,3,0.0
318,NCT00996203,1,45.769775850667415
318,NCT02744196,2,15.706135576631619
318,NCT02057250,3,2.1125874551118007
319,NCT00996203,1,43.47325759829351
319,NCT02744196,2,10.357028879026505
319,NCT02057250,3,1.4391886287417721
320,NCT00996203,1,50.56518884890882
320,NCT02744196,2,13.29380841254977
320,NCT02057250,3,4.328147430961816
321,NCT00996203,1,44.645990089750505
321,NCT02744196,2,10.894715283637371
321,NCT02057250,3,1.44859190914767
322,NCT00996203,1,46.23013199524601
322,NCT02744196,2,13.172877793832278
322,NCT02057250,3,3.9019550575426485
323,NCT00996203,1,51.43728726291299
323,NCT02744196,2,13.335484451553887
323,NCT02057250,3,7.52182595837449
324,NCT00996203,1,41.690733157486
324,NCT02744196,2,10.04372834696156
324,NCT02057250,3,0.0
325,NCT00996203,1,44.01175645350809
325,NCT02744196,2,13.368992636406531
325,NCT02057250,3,3.352938108735129
326,NCT00996203,1,40.42105682833673
326,NCT02744196,2,7.96565484731245
326,NCT02057250,3,0.0
327,NCT00996203,1,47.259441812977215
327,NCT02744196,2,10.068209407314821
327,NCT02057250,3,0.0
328,NCT00996203,1,43.23106173413681
328,NCT02744196,2,9.312278301056711
328,NCT02057250,3,0.0
329,NCT00996203,1,46.34394359863841
329,NCT02744196,2,12.455703947549564
329,NCT02057250,3,3.272969955242662
330,NCT00996203,1,50.35867922692273
330,NCT02744196,2,18.75619400258909
330,NCT02057250,3,2.5481650631969393
331,NCT00996203,1,45.9757777167427
331,NCT02744196,2,13.209231012116888
331,NCT02057250,3,4.251665162807868
332,NCT00996203,1,47.56594765589435
332,NCT02744196,2,16.46763611030331
332,NCT02057250,3,3.957938640097364
333,NCT00996203,1,47.88023102622456
333,NCT02744196,2,16.374411156890893
333,NCT02057250,3,6.606847563115258
334,NCT00996203,1,49.421659519571115
334,NCT02744196,2,6.564638416587056
334,NCT02057250,3,0.0
335,NCT00996203,1,49.89125500771697
335,NCT02744196,2,10.2905676486392
335,NCT02057250,3,0.0
336,NCT00996203,1,45.02300401453914
336,NCT02744196,2,14.422790721985404
336,NCT02057250,3,1.208362415033807
337,NCT00996203,1,46.210932036503706
337,NCT02744196,2,17.47249413669179
337,NCT02057250,3,7.648641968699373
338,NCT00996203,1,46.8768833498698
338,NCT02744196,2,9.163587166680335
338,NCT02057250,3,0.0
339,NCT00996203,1,42.72931273120617
339,NCT02744196,2,16.91418063223017
339,NCT02057250,3,4.23568169993637
340,NCT00996203,1,50.33067169282916
340,NCT02744196,2,11.985454400813248
340,NCT02057250,3,4.09965681833372
341,NCT00996203,1,44.29102213473243
341,NCT02744196,2,12.509381527638736
341,NCT02057250,3,3.5992881688143026
342,NCT00996203,1,46.72712620754017
342,NCT02744196,2,17.644063408928844
342,NCT02057250,3,4.677134112882426
343,NCT00996203,1,47.586290027123354
343,NCT02744196,2,9.416319055670046
343,NCT02057250,3,2.0082390874155576
344,NCT00996203,1,44.76098211951793
344,NCT02744196,2,14.049965937442613
344,NCT02057250,3,0.0
345,NCT00996203,1,49.70214010470305
345,NCT02744196,2,12.628877684483314
345,NCT02057250,3,0.0
346,NCT00996203,1,41.527094279792514
346,NCT02744196,2,14.937547541528765
346,NCT02057250,3,10.953790827910757
347,NCT00996203,1,43.534361298322274
347,NCT02744196,2,4.602916952746241
347,NCT02057250,3,0.0
348,NCT00996203,1,47.630619443109445
348,NCT02744196,2,12.947805919622764
348,NCT02057250,3,0.5303657150226846
349,NCT00996203,1,47.449571929158445
349,NCT02744196,2,20.005745059316972
349,NCT02057250,3,8.804750633320177
350,NCT00996203,1,47.931387035695664
350,NCT02744196,2,10.716869509614437
350,NCT02057250,3,0.8024001566975985
351,NCT00996203,1,43.461368544097425
351,NCT02744196,2,14.491019941175368
351,NCT02057250,3,3.6727132770191386
352,NCT00996203,1,45.02827541059734
352,NCT02744196,2,12.089486769879318
352,NCT02057250,3,2.910738460687224
353,NCT00996203,1,47.569464631340225
353,NCT02744196,2,11.024757800001714
353,NCT02057250,3,0.0
354,NCT00996203,1,50.03105093427189
354,NCT02744196,2,15.547327489639965
354,NCT02057250,3,5.34744622239483
355,NCT00996203,1,47.00996024406921
355,NCT02744196,2,13.989177572051906
355,NCT02057250,3,0.0
356,NCT00996203,1,43.236538273727426
356,NCT02744196,2,15.946704879320492
356,NCT02057250,3,8.005077720231354
357,NCT00996203,1,51.03600947717531
357,NCT02744196,2,10.55739786042205
357,NCT02057250,3,0.0
358,NCT00996203,1,46.3896540311206
358,NCT02744196,2,10.415481069844132
358,NCT02057250,3,0.0
359,NCT00996203,1,42.963317717354556
359,NCT02744196,2,7.1110867861078395
359,NCT02057250,3,0.0
360,NCT00996203,1,48.12628728814837
360,NCT02744196,2,10.443370411735955
360,NCT02057250,3,2.8962225402634316
361,NCT00996203,1,44.77846830725876
361,NCT02744196,2,10.953565421513929
361,NCT02057250,3,3.971755151311672
362,NCT00996203,1,40.07330077984114
362,NCT02744196,2,10.81539733331523
362,NCT02057250,3,4.614974537048801
363,NCT00996203,1,51.04943826223223
363,NCT02744196,2,12.892392622545474
363,NCT02057250,3,2.661373057740351
364,NCT00996203,1,56.24198582050516
364,NCT02744196,2,13.163016824443824
364,NCT02057250,3,6.433795343175423
365,NCT00996203,1,45.14111650444642
365,NCT02744196,2,12.743477522634441
365,NCT02057250,3,0.0
366,NCT00996203,1,48.73734122544147
366,NCT02744196,2,13.287984086362284
366,NCT02057250,3,0.1395706785138383
367,NCT00996203,1,42.98217939185121
367,NCT02744196,2,7.872755544618869
367,NCT02057250,3,0.0
368,NCT00996203,1,45.785601700600395
368,NCT02744196,2,6.137768143010729
368,NCT02057250,3,1.4741499745051074
369,NCT00996203,1,47.0865061733649
369,NCT02744196,2,18.48783880285184
369,NCT02057250,3,6.390620730717317
370,NCT00996203,1,45.83751788292121
370,NCT02744196,2,15.936428774475036
370,NCT02057250,3,5.18254346115676
371,NCT00996203,1,49.45735391244073
371,NCT02744196,2,11.726498558687384
371,NCT02057250,3,2.456161897098529
372,NCT00996203,1,45.492995894061124
372,NCT02744196,2,10.163424152097928
372,NCT02057250,3,0.0
373,NCT00996203,1,50.07528201627692
373,NCT02744196,2,7.931928970457966
373,NCT02057250,3,0.0
374,NCT00996203,1,44.20671151230173
374,NCT02744196,2,23.900276273337315
374,NCT02057250,3,10.671322305977226
375,NCT00996203,1,46.330385962304774
375,NCT02744196,2,11.380278780989151
375,NCT02057250,3,0.0
376,NCT00996203,1,47.12712720157718
376,NCT02744196,2,11.880360847445957
376,NCT02057250,3,3.797456082490319
377,NCT00996203,1,45.99803803157411
377,NCT02744196,2,15.004610955363887
377,NCT02057250,3,0.0
378,NCT00996203,1,44.10780549320793
378,NCT02744196,2,16.85474251401336
378,NCT02057250,3,6.113111847035977
379,NCT00996203,1,48.430527373833634
379,NCT02744196,2,6.239036252761323
379,NCT02057250,3,0.0
380,NCT00996203,1,47.10754833015251
380,NCT02744196,2,15.520265806116685
380,NCT02057250,3,1.4115971670479612
381,NCT00996203,1,47.13030013436047
381,NCT02744196,2,14.887163082655281
381,NCT02057250,3,5.361000550081664
382,NCT00996203,1,50.41182273732411
382,NCT02744196,2,12.067591918396174
382,NCT02057250,3,1.9346881134486411
383,NCT00996203,1,53.39874470934686
383,NCT02744196,2,16.417036294845207
383,NCT02057250,3,5.828474845320523
384,NCT00996203,1,50.92110070843634
384,NCT02744196,2,14.505273534801127
384,NCT02057250,3,2.9721717544074195
385,NCT00996203,1,45.05453621046318
385,NCT02744196,2,13.925614547336654
385,NCT02057250,3,2.525659768197693
386,NCT00996203,1,50.28210843806905
