alias,alias_type,source,confidence,notes,molecule_chembl_id
Itruvona,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL5095069,CHEMBL5095069
Itruvone,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL5095069,CHEMBL5095069
Ph-10,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL5095069,CHEMBL5095069
PH10,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL5095069,CHEMBL5095069
ITRUVONE,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL5095069,CHEMBL5095069
Ompekimig,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL6068473,CHEMBL6068473
Pf-07264660,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL6068473,CHEMBL6068473
PF-07264660,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL6068473,CHEMBL6068473
OMPEKIMIG,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL6068473,CHEMBL6068473
Pf-07275315,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL6068474,CHEMBL6068474
PF-07275315,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL6068474,CHEMBL6068474
Tilrekimig,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL6068474,CHEMBL6068474
TILREKIMIG,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL6068474,CHEMBL6068474
Bavisant dihydrochloride,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL2105715,CHEMBL2105715
Bavisant dihydrochloride monohydrate,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL2105715,CHEMBL2105715
Ben-2001,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL2105715,CHEMBL2105715
BEN-2001,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL2105715,CHEMBL2105715
JNJ-31001074-AAC,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL2105715,CHEMBL2105715
BAVISANT DIHYDROCHLORIDE,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL2105715,CHEMBL2105715
MULBERROFURAN W,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL562810,CHEMBL562810
KANZONOL W,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL591772,CHEMBL591772
MACROLACTIN W,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1780188,CHEMBL1780188
